job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Ciena:/job/Mumbai/Senior-AM--LTV_R030565,Ciena,Account Manager- Sify,Mumbai,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Mumbai/Senior-AM--LTV_R030565,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Mumbai/Senior-AM--LTV_R030565
Ciena:/job/Gurugram/Accountant_R031173,Ciena,Accountant,Gurugram,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Gurugram/Accountant_R031173,Posted 20 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Gurugram/Accountant_R031173
Ciena:/job/Ottawa/Advisor--Portfolio-Marketing--Interconnects_R030673,Ciena,"Advisor, Portfolio Marketing, Interconnects",2 Locations,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Ottawa/Advisor--Portfolio-Marketing--Interconnects_R030673,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Ottawa/Advisor--Portfolio-Marketing--Interconnects_R030673
Ciena:/job/Ottawa/AI-Champion_R031243,Ciena,AI Champion,Ottawa,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Ottawa/AI-Champion_R031243,Posted 4 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Ottawa/AI-Champion_R031243
Ciena:/job/Ottawa/AI-Enabled-Software-Test-Engineer-II_R030842,Ciena,AI-Enabled Software Test Engineer - New Grad,Ottawa,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Ottawa/AI-Enabled-Software-Test-Engineer-II_R030842,Posted 3 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Ottawa/AI-Enabled-Software-Test-Engineer-II_R030842
Ciena:/job/US--MD--Hanover--7035-Baltimore/Analyst--Revenue-Accounting_R029542,Ciena,"Analyst, Revenue Accounting",US- MD- Hanover- 7035 (Baltimore),,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/US--MD--Hanover--7035-Baltimore/Analyst--Revenue-Accounting_R029542,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/US--MD--Hanover--7035-Baltimore/Analyst--Revenue-Accounting_R029542
Ciena:/job/Remote--India--Gurugram/Anaplan-Model-Builder_R031254,Ciena,Anaplan Model Builder,Remote- India- Gurugram,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Remote--India--Gurugram/Anaplan-Model-Builder_R031254,Posted Today,2026-07-21T13:17:41+00:00,2026-07-21 06:17 Tue,,false,,,,false,workday:Ciena:/job/Remote--India--Gurugram/Anaplan-Model-Builder_R031254
Ciena:/job/Remote-Canada/Application-Support-Engineer--Service-Reliability-Engineering_R028786,Ciena,"Application Support Engineer, Service Reliability Engineering",2 Locations,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Remote-Canada/Application-Support-Engineer--Service-Reliability-Engineering_R028786,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Remote-Canada/Application-Support-Engineer--Service-Reliability-Engineering_R028786
Ciena:/job/Ottawa/ASIC-Mix-Signal-Production-Test-Development-Engineer_R031183,Ciena,ASIC Mix-Signal Production Test Development Engineer,Ottawa,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Ottawa/ASIC-Mix-Signal-Production-Test-Development-Engineer_R031183,Posted 27 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Ottawa/ASIC-Mix-Signal-Production-Test-Development-Engineer_R031183
Ciena:/job/Remote-Australia/Associate-Project-Manager--Customer-Success_R031021,Ciena,"Associate Project Manager, Customer Success",2 Locations,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Remote-Australia/Associate-Project-Manager--Customer-Success_R031021,Posted 27 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Remote-Australia/Associate-Project-Manager--Customer-Success_R031021
Ciena:/job/Remote-US/Blue-Planet-Advanced-Technical-Support-BPI-BPO_R030389,Ciena,Blue Planet Advanced Technical Support BPI+BPO,2 Locations,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Remote-US/Blue-Planet-Advanced-Technical-Support-BPI-BPO_R030389,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Remote-US/Blue-Planet-Advanced-Technical-Support-BPI-BPO_R030389
Ciena:/job/London/Blue-Planet-Data-Management-Lead_R031020-1,Ciena,Blue Planet Data Management Lead,2 Locations,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/London/Blue-Planet-Data-Management-Lead_R031020-1,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/London/Blue-Planet-Data-Management-Lead_R031020-1
Ciena:/job/Remote-UK/Blue-Planet-Portfolio-Support_R030788,Ciena,Blue Planet Portfolio Support,8 Locations,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Remote-UK/Blue-Planet-Portfolio-Support_R030788,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Remote-UK/Blue-Planet-Portfolio-Support_R030788
Ciena:/job/Germany--Braunschweig/Braunschweig---Bonding-2026-Applications_R031174,Ciena,Braunschweig New Grad and Intern Applications,Germany- Braunschweig,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Germany--Braunschweig/Braunschweig---Bonding-2026-Applications_R031174,Posted 20 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Germany--Braunschweig/Braunschweig---Bonding-2026-Applications_R031174
Ciena:/job/Ottawa/Category-Lead_R030838,Ciena,Category Lead,Ottawa,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Ottawa/Category-Lead_R030838,Posted Today,2026-07-14T19:41:21+00:00,2026-07-14 12:41 Tue,,false,,,,false,workday:Ciena:/job/Ottawa/Category-Lead_R030838
Ciena:/job/Atlanta/Ciena---Technical-Sales-Development-Program_R028579,Ciena,Ciena - Technical Sales Development Program,Atlanta,,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/job/Atlanta/Ciena---Technical-Sales-Development-Program_R028579,Posted 30+ Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Ciena:/job/Atlanta/Ciena---Technical-Sales-Development-Program_R028579
