job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Renesas Electronics:81110647-b15b-4223-aef2-64ef0c802132,Renesas Electronics,Associate Product Engineer - Hi-Reliability,"Palm Bay, FL",Hardware,https://jobs.smartrecruiters.com/RenesasElectronics/744000147562349,2026-09-04,2026-09-04,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:81110647-b15b-4223-aef2-64ef0c802132,2026-09-04
Renesas Electronics:35b2a439-e042-479a-94b3-8506dedd01c1,Renesas Electronics,Associate Reliability Engineer,"Palm Bay, FL",Hardware,https://jobs.smartrecruiters.com/RenesasElectronics/744000150727429,2026-09-21,2026-09-21,2026-09-21T22:40:31+00:00,2026-09-21 15:40 Mon,,false,,,,false,simplify:Simplify New Grad:35b2a439-e042-479a-94b3-8506dedd01c1,2026-09-21
Renesas Electronics:a4a2a918-bd94-4e72-8cf5-303e07eff8ce,Renesas Electronics,Digital Design Engineer Intern,"Duluth, GA",Hardware,https://jobs.smartrecruiters.com/RenesasElectronics/744000143930119,2026-08-17,2026-08-17,2026-08-17T22:39:38+00:00,2026-08-17 15:39 Mon,,false,,,,false,simplify:Simplify Internships:a4a2a918-bd94-4e72-8cf5-303e07eff8ce,2026-08-17
Renesas Electronics:bdf6cf68-7bb8-4815-804a-d940f353ad2c,Renesas Electronics,Embedded Systems Intern,Remote in USA,Hardware,https://jobs.smartrecruiters.com/RenesasElectronics/744000150194379,2026-09-17,2026-09-17,2026-09-17T22:41:20+00:00,2026-09-17 15:41 Thu,,false,,,,false,simplify:Simplify Internships:bdf6cf68-7bb8-4815-804a-d940f353ad2c,2026-09-17
Renesas Electronics:b2d7bbe9-4eb7-46a4-8217-cb94918c0a95,Renesas Electronics,Engineering Technician 1,"Palm Bay, FL",Hardware,https://jobs.smartrecruiters.com/RenesasElectronics/744000140059291,2026-08-13,2026-08-13,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:b2d7bbe9-4eb7-46a4-8217-cb94918c0a95,2026-08-13
Renesas Electronics:7e7933a5-5219-4e00-862a-fc2170c3e364,Renesas Electronics,Graduate Digital Design Engineer,"Edinburgh, UK",Hardware,https://jobs.smartrecruiters.com/RenesasElectronics/744000150054935,2026-09-17,2026-09-17,2026-09-17T14:41:21+00:00,2026-09-17 07:41 Thu,,false,,,,false,simplify:Simplify New Grad:7e7933a5-5219-4e00-862a-fc2170c3e364,2026-09-17
Renesas Electronics:ec59822b-1ce3-45e9-bbea-6bc20d0c4418,Renesas Electronics,Senior Staff Applications Engineer,"Austin, TX",Hardware,https://jobs.smartrecruiters.com/RenesasElectronics/744000149393880,2026-09-14,2026-09-14,2026-09-14T22:41:16+00:00,2026-09-14 15:41 Mon,,false,,,,false,simplify:Simplify New Grad:ec59822b-1ce3-45e9-bbea-6bc20d0c4418,2026-09-14
Renesas Electronics:3b47cf45-490b-42f1-9fe1-8fb43bbb2df5,Renesas Electronics,Software Engineer Intern,"San Jose, CA",Software,https://jobs.smartrecruiters.com/RenesasElectronics/744000149952164,2026-09-16,2026-09-16,2026-09-16T22:41:28+00:00,2026-09-16 15:41 Wed,Software Engineering,true,Keyword,51,此職缺只有職稱、沒有內文可評分，自動放行,true,simplify:Simplify Internships:3b47cf45-490b-42f1-9fe1-8fb43bbb2df5,2026-09-16
Renesas Electronics:877c50ba-c6f6-4feb-b5e5-a22d1824bd9c,Renesas Electronics,Test Engineering Intern,"Palm Bay, FL",Hardware,https://jobs.smartrecruiters.com/RenesasElectronics/744000149335200,2026-09-14,2026-09-14,2026-09-14T14:41:03+00:00,2026-09-14 07:41 Mon,,false,,,,false,simplify:Simplify Internships:877c50ba-c6f6-4feb-b5e5-a22d1824bd9c,2026-09-14
Renesas Electronics:c37c68ad-3655-4019-ae26-9ab367691f7a,Renesas Electronics,Validation Intern,"Tempe, AZ",Hardware,https://jobs.smartrecruiters.com/RenesasElectronics/744000150748389,2026-09-21,2026-09-21,2026-09-21T23:16:42+00:00,2026-09-21 16:16 Mon,,false,,,,false,simplify:Simplify Internships:c37c68ad-3655-4019-ae26-9ab367691f7a,2026-09-21
