job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Susquehanna International Group:https://careers-sig.icims.com/jobs/11078/equity-options-ai-co-op-with-drexel-university/job,Susquehanna International Group,Equity Options AI Co-op with Drexel University,"Bala Cynwyd, PA",,https://careers-sig.icims.com/jobs/11078/equity-options-ai-co-op-with-drexel-university/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11078/equity-options-ai-co-op-with-drexel-university/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11137/financial-reporting-ai-co-op-with-drexel-university/job,Susquehanna International Group,Financial Reporting AI Co-op with Drexel University,"Bala Cynwyd, PA",,https://careers-sig.icims.com/jobs/11137/financial-reporting-ai-co-op-with-drexel-university/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11137/financial-reporting-ai-co-op-with-drexel-university/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/10820/quantitative-research-internship-%e2%80%93-master%27s%3a-summer-2027/job,Susquehanna International Group,Quantitative Research Internship - Master's: Summer 2027,"New York City, NY",,https://careers-sig.icims.com/jobs/10820/quantitative-research-internship-%e2%80%93-master%27s%3a-summer-2027/job,,,2026-08-01T13:58:56+00:00,2026-08-01 06:58 Sat,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/10820/quantitative-research-internship-%e2%80%93-master%27s%3a-summer-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/10818/quantitative-research-internship---phd%3a-summer-2027/job,Susquehanna International Group,Quantitative Research Internship - PhD: Summer 2027,"New York City, NY",,https://careers-sig.icims.com/jobs/10818/quantitative-research-internship---phd%3a-summer-2027/job,,,2026-08-10T13:41:59+00:00,2026-08-10 06:41 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/10818/quantitative-research-internship---phd%3a-summer-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11018/quantitative-researcher-%e2%80%93-master%27s%3a-2027/job,Susquehanna International Group,Quantitative Researcher - Master's: 2027,"New York City, NY",,https://careers-sig.icims.com/jobs/11018/quantitative-researcher-%e2%80%93-master%27s%3a-2027/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11018/quantitative-researcher-%e2%80%93-master%27s%3a-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11016/quantitative-researcher-%e2%80%93-master%27s%3a-2027/job,Susquehanna International Group,Quantitative Researcher - Master's: 2027,"Bala Cynwyd, PA",,https://careers-sig.icims.com/jobs/11016/quantitative-researcher-%e2%80%93-master%27s%3a-2027/job,,,2026-08-01T13:58:56+00:00,2026-08-01 06:58 Sat,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11016/quantitative-researcher-%e2%80%93-master%27s%3a-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11017/quantitative-researcher---phd%3a-2027/job,Susquehanna International Group,Quantitative Researcher - PhD: 2027,"New York City, NY",,https://careers-sig.icims.com/jobs/11017/quantitative-researcher---phd%3a-2027/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11017/quantitative-researcher---phd%3a-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11015/quantitative-researcher---phd%3a-2027/job,Susquehanna International Group,Quantitative Researcher - PhD: 2027,"Bala Cynwyd, PA",,https://careers-sig.icims.com/jobs/11015/quantitative-researcher---phd%3a-2027/job,,,2026-08-05T14:41:47+00:00,2026-08-05 07:41 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11015/quantitative-researcher---phd%3a-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11321/quantitative-strategy-developer---new-grad/job,Susquehanna International Group,Quantitative Strategy Developer - New Grad,"Bala Cynwyd, PA",,https://careers-sig.icims.com/jobs/11321/quantitative-strategy-developer---new-grad/job,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://careers-sig.icims.com/jobs/11321/quantitative-strategy-developer---new-grad/job
Susquehanna International Group:78f9e1b5-9870-4a25-816c-c69294b6b6cb,Susquehanna International Group,Quantitative Strategy Developer Intern,"London, UK; Dublin, Ireland",Quant,https://careers-sig.icims.com/jobs/11333/job?mobile=true&needsRedirect=false,2026-08-21,2026-08-21,2026-08-21T18:17:29+00:00,2026-08-21 11:17 Fri,,false,,,,false,simplify:Simplify Internships:78f9e1b5-9870-4a25-816c-c69294b6b6cb
Susquehanna International Group:https://careers-sig.icims.com/jobs/10838/quantitative-strategy-developer-internship%3a-summer-2027/job,Susquehanna International Group,Quantitative Strategy Developer Internship: Summer 2027,"Bala Cynwyd, PA",,https://careers-sig.icims.com/jobs/10838/quantitative-strategy-developer-internship%3a-summer-2027/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:https://careers-sig.icims.com/jobs/10838/quantitative-strategy-developer-internship%3a-summer-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11020/quantitative-systematic-trader-%e2%80%93-master%27s%3a-2027/job,Susquehanna International Group,Quantitative Systematic Trader - Master's: 2027,"Bala Cynwyd, PA",,https://careers-sig.icims.com/jobs/11020/quantitative-systematic-trader-%e2%80%93-master%27s%3a-2027/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11020/quantitative-systematic-trader-%e2%80%93-master%27s%3a-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11022/quantitative-systematic-trader-%e2%80%93-master%27s%3a-2027/job,Susquehanna International Group,Quantitative Systematic Trader - Master's: 2027,"New York City, NY",,https://careers-sig.icims.com/jobs/11022/quantitative-systematic-trader-%e2%80%93-master%27s%3a-2027/job,,,2026-08-01T13:58:56+00:00,2026-08-01 06:58 Sat,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11022/quantitative-systematic-trader-%e2%80%93-master%27s%3a-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11019/quantitative-systematic-trader-%e2%80%93-phd%3a-2027/job,Susquehanna International Group,Quantitative Systematic Trader - PhD: 2027,"Bala Cynwyd, PA",,https://careers-sig.icims.com/jobs/11019/quantitative-systematic-trader-%e2%80%93-phd%3a-2027/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11019/quantitative-systematic-trader-%e2%80%93-phd%3a-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/11021/quantitative-systematic-trader-%e2%80%93-phd%3a-2027/job,Susquehanna International Group,Quantitative Systematic Trader - PhD: 2027,"New York City, NY",,https://careers-sig.icims.com/jobs/11021/quantitative-systematic-trader-%e2%80%93-phd%3a-2027/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/11021/quantitative-systematic-trader-%e2%80%93-phd%3a-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/10824/quantitative-systematic-trading-internship-%e2%80%93-master%27s%3a-summer-2027/job,Susquehanna International Group,Quantitative Systematic Trading Internship - Master's: Summer 2027,"New York City, NY",,https://careers-sig.icims.com/jobs/10824/quantitative-systematic-trading-internship-%e2%80%93-master%27s%3a-summer-2027/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/10824/quantitative-systematic-trading-internship-%e2%80%93-master%27s%3a-summer-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/10718/quantitative-trader-internship%3a-summer-2027/job,Susquehanna International Group,Quantitative Trader Internship: Summer 2027,"New York City, NY",,https://careers-sig.icims.com/jobs/10718/quantitative-trader-internship%3a-summer-2027/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/10718/quantitative-trader-internship%3a-summer-2027/job
Susquehanna International Group:https://careers-sig.icims.com/jobs/10849/quantitative-trader-internship%3a-summer-2027/job,Susquehanna International Group,Quantitative Trader Internship: Summer 2027,"Chicago, IL",,https://careers-sig.icims.com/jobs/10849/quantitative-trader-internship%3a-summer-2027/job,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-sig.icims.com/jobs/10849/quantitative-trader-internship%3a-summer-2027/job
Susquehanna International Group:0d95ff8f-ccaa-4031-8bc2-ecf6014f6be0,Susquehanna International Group,Trading Systems Engineer Intern,"London, UK",Quant,https://careers-sig.icims.com/jobs/11334/job?mobile=true&needsRedirect=false,2026-08-21,2026-08-21,2026-08-21T18:17:29+00:00,2026-08-21 11:17 Fri,,false,,,,false,simplify:Simplify Internships:0d95ff8f-ccaa-4031-8bc2-ecf6014f6be0
