job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Fidelity Investments:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Jersey-City-NJ/XMLNAME-2026-Undergraduate---Leap--Software-Engineer--Jersey-City--NJ_2130181,Fidelity Investments,2026 Undergraduate - Leap: Software Engineer - Jersey City - NJ,"Jersey City, NJ",,https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Jersey-City-NJ/XMLNAME-2026-Undergraduate---Leap--Software-Engineer--Jersey-City--NJ_2130181,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Jersey-City-NJ/XMLNAME-2026-Undergraduate---Leap--Software-Engineer--Jersey-City--NJ_2130181,
Fidelity Investments:71e7a50c-dbfa-43e2-a899-2883fb7c6b5b,Fidelity Investments,Advanced Data Analytics and Insights Co-op,"Boston, MA",AI/ML/Data,https://fmr.wd1.myworkdayjobs.com/targeted/job/Boston-MA/Co-op--Advanced-Data-Analytics-and-Insights_2135232,2026-09-11,2026-09-11,2026-09-11T22:41:16+00:00,2026-09-11 15:41 Fri,AI / ML,true,CLI:codex,52,候選人目前攻讀 Artificial Intelligence 碩士且具備 Python、資料分析與機器學習經驗，符合進階分析基礎，但缺乏 customer analytics、SQL、Tableau/Power BI 及金融服務領域的直接經驗，因此整體匹配度中等。,true,simplify:Simplify Internships:71e7a50c-dbfa-43e2-a899-2883fb7c6b5b,2026-09-11
Fidelity Investments:b782df7f-0b0d-40a2-8207-adf593cc2b9c,Fidelity Investments,Alternative Data Operations Co-op,"Boston, MA",AI/ML/Data,https://fmr.wd1.myworkdayjobs.com/targeted/job/Boston-MA/Co-op--Alternative-Data-Operations_2135327,2026-09-14,2026-09-14,2026-09-14T15:17:08+00:00,2026-09-14 08:17 Mon,,false,,,,false,simplify:Simplify Internships:b782df7f-0b0d-40a2-8207-adf593cc2b9c,2026-09-14
Fidelity Investments:https://fmr.wd1.myworkdayjobs.com/en-US/fidelitycareers/job/Boston-MA/AM-Quantitative-Analyst-I_2132397,Fidelity Investments,AM Quantitative Analyst I,"Boston, MA",,https://fmr.wd1.myworkdayjobs.com/en-US/fidelitycareers/job/Boston-MA/AM-Quantitative-Analyst-I_2132397,,,2026-07-15T13:59:19+00:00,2026-07-15 06:59 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://fmr.wd1.myworkdayjobs.com/en-US/fidelitycareers/job/Boston-MA/AM-Quantitative-Analyst-I_2132397,
Fidelity Investments:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Westlake-TX/April-2027---Leap-Software-Engineer_2133870,Fidelity Investments,April 2027 - Leap Software Engineer,"Westlake, TX +2",,https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Westlake-TX/April-2027---Leap-Software-Engineer_2133870,,,2026-08-15T12:59:12+00:00,2026-08-15 05:59 Sat,Software Engineering,true,CLI,78,"The candidate is a strong fit for an entry-level software engineering role through Python/C++/Java, backend development, testing, Docker, databases, and demonstrated algorithmic problem-solving, though the resume emphasizes computer vision more than financial-services software.",true,speedyapply:SpeedyApply SWE:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Westlake-TX/April-2027---Leap-Software-Engineer_2133870,
Fidelity Investments:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Westlake-TX/Associate-Software-Engineer_2131717-1,Fidelity Investments,Associate Software Engineer,"Westlake, TX",,https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Westlake-TX/Associate-Software-Engineer_2131717-1,,,2026-08-13T13:42:07+00:00,2026-08-13 06:42 Thu,Software Engineering,true,Keyword,40,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Westlake-TX/Associate-Software-Engineer_2131717-1,
Fidelity Investments:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Westlake-TX/Associate-Full-Stack-Engineer_2128066-2,Fidelity Investments,Associate Software Engineer - Java/Angular,"Westlake, TX",,https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Westlake-TX/Associate-Full-Stack-Engineer_2128066-2,,,2026-07-28T14:35:37+00:00,2026-07-28 07:35 Tue,Software Engineering,true,Keyword,43,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Westlake-TX/Associate-Full-Stack-Engineer_2128066-2,
Fidelity Investments:https://fmr.wd1.myworkdayjobs.com/en-US/fidelitycareers/job/Westlake-TX/Associate-Full-Stack-Engineer_2128066,Fidelity Investments,Associate Software Engineer - Java/Angular,"Westlake, TX",,https://fmr.wd1.myworkdayjobs.com/en-US/fidelitycareers/job/Westlake-TX/Associate-Full-Stack-Engineer_2128066,,,2026-08-01T13:58:56+00:00,2026-08-01 06:58 Sat,Software Engineering,true,Keyword,43,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://fmr.wd1.myworkdayjobs.com/en-US/fidelitycareers/job/Westlake-TX/Associate-Full-Stack-Engineer_2128066,
Fidelity Investments:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Boston-MA/Co-op--Advanced-Data-Analytics-and-Insights_2135232,Fidelity Investments,Co-op - Advanced Data Analytics and Insights,"Boston, MA",,https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Boston-MA/Co-op--Advanced-Data-Analytics-and-Insights_2135232,,,2026-09-12T15:40:56+00:00,2026-09-12 08:40 Sat,AI / ML,true,CLI:codex,58,候選人目前攻讀 AI 碩士並具備 Python、Pandas、Scikit-learn、MySQL 與資料分析及機器學習經驗，符合 co-op 的學歷與技術基礎，但缺乏 customer analytics、SQL 深度、Tableau/Power BI 及 sequential pattern mining、time series analysis 等職務核心經驗。,true,speedyapply:SpeedyApply AI:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Boston-MA/Co-op--Advanced-Data-Analytics-and-Insights_2135232,
Fidelity Investments:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Boston-MA/Co-Op--Data-Analyst_2135233,Fidelity Investments,Co-Op - Data Analyst,"Boston, MA +1",,https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Boston-MA/Co-Op--Data-Analyst_2135233,,,2026-09-12T15:40:56+00:00,2026-09-12 08:40 Sat,AI / ML,true,CLI:codex,78,候選人具備 Python、pandas、NumPy、scikit-learn、PyTorch 與 ML model development、experimentation 及 diagnostics 經驗，且目前攻讀 AI 碩士，符合 Data Analyst 職位的技術與學歷要求，但缺乏 financial planning、wealth management、LLM prompt engineering 和 agentic AI 的直接經驗。,true,speedyapply:SpeedyApply AI:https://fmr.wd1.myworkdayjobs.com/en-US/targeted/job/Boston-MA/Co-Op--Data-Analyst_2135233,
